# device_serial=FLMS13217
# frame_number=222
# integration_time_us=50000
# timestamp_ns=1778614513732568000
# axis_units=nm
# value_units=counts
wavelength_nm,intensity
426.2163,2457.23
426.5759,2403.54
426.9356,2466.99
427.2951,2474.31
427.6547,2496.27
428.0141,2498.71
428.3736,2452.35
428.7330,2454.79
429.0923,2476.75
429.4516,2440.15
429.8108,2459.67
430.1700,2535.31
430.5292,2452.35
430.8883,2474.31
431.2474,2537.75
431.6064,2474.31
431.9653,2493.83
432.3243,2506.03
432.6831,2466.99
433.0420,2508.47
433.4007,2510.91
433.7595,2496.27
434.1182,2445.03
434.4768,2425.51
434.8354,2523.11
435.1939,2530.43
435.5524,2562.15
435.9109,2447.47
436.2693,2486.51
436.6277,2442.59
436.9860,2554.83
437.3442,2501.15
437.7025,2474.31
438.0606,2567.03
438.4188,2530.43
438.7768,2552.39
439.1349,2486.51
439.4928,2427.95
439.8508,2537.75
440.2087,2564.59
440.5665,2501.15
440.9243,2542.63
441.2821,2542.63
441.6398,2615.84
441.9974,2650
442.3550,2515.79
442.7126,2618.28
443.0701,2515.79
443.4276,2488.95
443.7850,2588.99
444.1424,2484.07
444.4997,2515.79
444.8570,2645.12
445.2142,2532.87
445.5714,2584.11
445.9285,2574.35
446.2856,2615.84
446.6426,2576.79
446.9996,2545.07
447.3566,2591.44
447.7135,2581.67
448.0703,2547.51
448.4271,2571.91
448.7839,2513.35
449.1406,2608.52
449.4973,2579.23
449.8539,2449.91
450.2105,2569.47
450.5670,2559.71
450.9235,2540.19
451.2799,2545.07
451.6363,2547.51
451.9926,2491.39
452.3489,2545.07
452.7051,2540.19
453.0613,2479.19
453.4174,2488.95
453.7735,2554.83
454.1296,2513.35
454.4856,2535.31
454.8415,2537.75
455.1974,2532.87
455.5533,2493.83
455.9091,2515.79
456.2649,2527.99
456.6206,2586.55
456.9762,2481.63
457.3319,2427.95
457.6874,2493.83
458.0430,2440.15
458.3984,2537.75
458.7539,2579.23
459.1092,2435.27
459.4646,2510.91
459.8199,2567.03
460.1751,2527.99
460.5303,2481.63
460.8854,2549.95
461.2405,2525.55
461.5956,2562.15
461.9506,2513.35
462.3055,2506.03
462.6604,2496.27
463.0153,2537.75
463.3701,2510.91
463.7249,2554.83
464.0796,2454.79
464.4342,2464.55
464.7888,2552.39
465.1434,2506.03
465.4979,2503.59
465.8524,2510.91
466.2068,2457.23
466.5612,2476.75
466.9155,2523.11
467.2698,2471.87
467.6240,2549.95
467.9782,2493.83
468.3324,2469.43
468.6865,2549.95
469.0405,2545.07
469.3945,2506.03
469.7484,2457.23
470.1023,2459.67
470.4562,2501.15
470.8100,2513.35
471.1637,2464.55
471.5174,2469.43
471.8711,2523.11
472.2247,2545.07
472.5783,2452.35
472.9318,2520.67
473.2852,2508.47
473.6386,2476.75
473.9920,2498.71
474.3453,2530.43
474.6986,2447.47
475.0518,2464.55
475.4050,2445.03
475.7581,2420.62
476.1112,2481.63
476.4642,2518.23
476.8172,2481.63
477.1701,2476.75
477.5230,2503.59
477.8758,2447.47
478.2286,2532.87
478.5814,2471.87
478.9341,2464.55
479.2867,2491.39
479.6393,2537.75
479.9918,2501.15
480.3443,2481.63
480.6968,2515.79
481.0492,2506.03
481.4015,2532.87
481.7538,2510.91
482.1061,2491.39
482.4583,2606.08
482.8104,2464.55
483.1625,2437.71
483.5146,2535.31
483.8666,2437.71
484.2186,2493.83
484.5705,2442.59
484.9223,2503.59
485.2742,2571.91
485.6259,2484.07
485.9776,2540.19
486.3293,2603.64
486.6809,2569.47
487.0325,2515.79
487.3840,2540.19
487.7355,2564.59
488.0869,2635.36
488.4383,2545.07
488.7896,2523.11
489.1409,2545.07
489.4921,2523.11
489.8433,2484.07
490.1945,2484.07
490.5455,2515.79
490.8966,2571.91
491.2476,2545.07
491.5985,2540.19
491.9494,2579.23
492.3002,2581.67
492.6510,2481.63
493.0018,2498.71
493.3524,2525.55
493.7031,2506.03
494.0537,2471.87
494.4042,2506.03
494.7547,2493.83
495.1052,2503.59
495.4556,2562.15
495.8059,2554.83
496.1562,2591.44
496.5065,2569.47
496.8567,2535.31
497.2068,2559.71
497.5569,2547.51
497.9070,2618.28
498.2570,2569.47
